Name,Symbol,country,price (GBP),revenue_ttm,marketcap,earnings_ttm,pe_ratio_ttm,dividend_yield_ttm
Walmart,WMT,United States,61.0291862,665035000000,490567854931.31,24451000000.0,15.2835,99.7744
Amazon,AMZN,United States,143.4542092,604334000000,1506037880124.9,56855000000.0,95.9133,0.0
Saudi Aramco,2222.SR,Saudi Arabia,5.5054048272,495354806850,1348543011899.6,228378000000.0,13.1655,236.326
Sinopec,600028.SS,China,0.74829500936,435696880608,84784074461.499,14171900000.0,13.5562,203.161
PetroChina,601857.SS,China,0.9697693508,429671599508,170890516772.48,37227600000.0,10.389,475.698
Berkshire Hathaway,BRK-B,United States,347.5375756,402877000000,749229561078.09,88904000000.0,11.5036,0.0
Apple,AAPL,United States,176.70690556,385603000000,2689902694084.1,121625000000.0,34.5561,42.5952
UnitedHealth,UNH,United States,441.4872436,381255000000,408043135426.89,20217000000.0,24.9415,133.024
CVS Health,CVS,United States,47.7291744,363248000000,60042350469.12,12472000000.0,9.21622,413.816
Volkswagen,VOW3.DE,Germany,79.99589452,350679303398,41068814814.555,23154900000.0,3.50339,936.364
Exxon Mobil,XOM,United States,87.8692272,340655000000,390692713336.67,50358000000.0,11.5015,324.642
Alphabet (Google),GOOG,United States,126.2529622,328284000000,1549814507938.8,101821000000.0,31.4838,12.0999
China State Construction Engineering,601668.SS,China,0.66443445372,319969725663,27647312654.381,12964100000.0,4.73389,428.336
McKesson,MCK,United States,371.626941,313751000000,48191468430.459,3782000000.0,19.1621,50.7937
Toyota,TM,Japan,136.2079696,308598831420,189974399491.77,47717300000.0,9.0784,0.0
Shell,SHEL,United Kingdom,50.136968,302023000000,154990619008.7,31373000000.0,12.1081,408.41
Cencora,COR,United States,170.9381064,283830824000,33505237310.177,2325220000.0,26.1231,89.5874
JBS,JBSS3.SA,Brazil,4.2351565504,281463003188,9394082267.3046,-578948000.0,14.5028,0.0
Glencore,GLCNF,Switzerland,4.3507916,255984000000,52893009261.363,22879000000.0,0.0,643.739
Costco,COST,United States,684.6743972,253695000000,303457823469.08,9766000000.0,70.2316,217.023
Microsoft,MSFT,United States,326.3169896,245122000000,2427169621430.8,107787000000.0,36.9301,68.4547
Cardinal Health,CAH,United States,84.1813408,226827000000,20368686045.921,1252000000.0,108.703,136.898
Exor,EXO.AS,Netherlands,80.55288728,223100789399,27288439869.228,10119600000.0,29.1753,47.2073
Cigna,CI,United States,264.0915262,216008000000,73826519260.529,5518000000.0,19.4707,151.28
TotalEnergies,TTE,France,49.6074058,210244000000,113180301123.26,36607000000.0,8.38403,496.296
Samsung,005930.KS,South Korea,35.015262232,209374855661,232864975133.27,19770000000.0,11.4416,171.202
BP,BP,United Kingdom,23.8836362,201589000000,63404366302.74,18649000000.0,3.64113,555.06
Foxconn (Hon Hai Precision Industry),2317.TW,Taiwan,4.4601480992,197384371388,61824354051.966,6461870000.0,20.1884,0.0
Chevron,CVX,United States,110.3775256,197009000000,200203912576.37,27651000000.0,10.7611,431.645
Ford,F,United States,8.0272486,180348000000,31910318730.772,4841000000.0,7.0,723.562
General Motors,GM,United States,34.4672606,178092000000,38738444716.114,11958000000.0,6.5007,90.3614
Elevance Health,ELV,United States,396.3411136,171719000000,91905948007.137,9643000000.0,20.377,118.714
JPMorgan Chase,JPM,United States,157.992406,170327000000,448856372498.92,68787000000.0,12.5447,154.394
China Railway Group,0390.HK,China,0.39881595968,169791088587,16062564228.246,5155750000.0,2.98945,532.227
BMW,BMW.DE,Germany,66.840350336,167358434740,42418306714.958,17728500000.0,4.75584,742.999
Mercedes-Benz,MBG.DE,Germany,49.083253516,162018443309,52511237953.712,19682000000.0,4.21285,893.251
Centene,CNC,United States,56.8269768,157745000000,29892696635.965,4499000000.0,16.6846,0.0
China Railway Construction,601186.SS,China,0.9579437316,155225616753,12136512775.865,5154250000.0,4.84097,306.454
Jingdong Mall,JD,China,31.5680028,153999902333,47309701887.59,5788520000.0,20.2335,190.357
Home Depot,HD,United States,305.4049974,152089000000,303243124451.57,21407000000.0,24.8928,217.255
Phillips 66,PSX,United States,99.15233088,151853000000,41501933045.35,7781000000.0,7.87087,328.119
Kroger,KR,United States,43.1574144,150202000000,31223785602.253,3589000000.0,25.2321,205.237
Meta Platforms (Facebook),META,United States,433.3799892,149783000000,1095756471861.2,60646000000.0,49.3357,17.6255
Marathon Petroleum,MPC,United States,123.7537334,147792000000,41418393555.272,12147000000.0,6.08138,197.067
Walgreens Boots Alliance,WBA,United States,6.8614498,145532000000,5923318357.2582,-13091000000.0,-2.35938,1611.48
China Mobile,0941.HK,China,7.1796671548,142724816779,157736626436.37,24321400000.0,10.8265,656.106
Honda,HMC,Japan,24.230328,141023328597,39660684233.441,11142500000.0,8.71414,183.426
Valero Energy,VLO,United States,102.4874298,140067000000,32834923957.125,8489000000.0,4.63271,307.421
AXA,CS.PA,France,29.35031822,134351177679,64054429168.31,7366280000.0,0.0,555.632
Verizon,VZ,United States,34.2272432,134243000000,144080268598.97,16484000000.0,9.0504,444.42
Mitsubishi Corporation,8058.T,Japan,15.792230568,133590219121,63385726406.684,9315220000.0,4.28494,210.145
Alibaba,BABA,China,84.01294764,132417126310,201301801307.34,16086500000.0,22.8297,247.834
Prudential,PUK,United Kingdom,14.268691548,128559629534,19224778344.53,0.0,0.0,220.366
CITIC limited,0267.HK,China,0.8973374332,125712987553,26103792089.062,18921600000.0,3.81035,612.747
Hyundai,HYMTF,South Korea,50.2969796,125353149030,37885447442.104,17014500000.0,4.54532,504.044
AT&T,T,United States,16.57758274,122197000000,118865243476.46,17876000000.0,-14.3137,380.822
Deutsche Telekom,DTE.DE,Germany,22.350496484,121538445494,111274585755.19,14639800000.0,6.8238,285.188
Comcast,CMCSA,United States,31.678487,121113000000,122543340506.97,19789000000.0,11.4539,213.788
Ping An Insurance,601318.SS,China,6.1379535408,113107038246,104637390429.61,17617800000.0,10.034,158.857
ICBC,1398.HK,China,0.45355592804,112933681186,212509004929.56,57904600000.0,4.21332,0.0
Humana,HUM,United States,243.122387,112036000000,29272422086.083,3026000000.0,13.189,110.774
Reliance Industries,RELIANCE.NS,India,26.82175396,111086832417,181481991730.94,12437000000.0,28.681,30.627
Nestlé,NESN.SW,Switzerland,77.11339984,111031817679,198236611878.93,15109000000.0,15.2448,331.482
Allianz,ALV.DE,Germany,250.10270256,107852516437,97904907466.264,13989700000.0,14.0241,456.052
Target,TGT,United States,118.179996,107300000000,54442573640.827,5785000000.0,21.1995,283.542
China Communications Construction,601800.SS,China,1.039656322,105402775570,14562892479.069,8474060000.0,8.38032,218.906
Equinor,EQNR,Norway,19.1290058,105318000000,52636326711.132,32331000000.0,4.5027,1360.54
China Construction Bank,601939.SS,China,0.8525799028,105087977531,152818715153.27,53637500000.0,5.90228,478.368
Life Insurance Corporation of India (LIC),LICI.NS,India,9.145501096,104146002488,57845500848.688,5026470000.0,13.7787,99.8025
Stellantis,STLA,Netherlands,10.610293,100924361250,30655044808.868,2770330000.0,8.45944,1028.64
ENI,E,Italy,23.239627608,98895013012,36535716813.537,10077200000.0,5.67616,663.509
Bank of America,BAC,United States,29.9031202,98321000000,232006095309.37,26041000000.0,10.9749,243.655
SAIC Motor,600104.SS,China,1.5729216476,98092564899,18207076292.956,2920470000.0,12.3521,224.698
SK Group,034730.KS,South Korea,87.22460904,97443914539,4694856347.8382,937026000.0,-8.45757,317.298
Agricultural Bank of China,601288.SS,China,0.51606560252,96889079690,176187865612.33,43014800000.0,6.59462,920.527
NVIDIA,NVDA,United States,92.1666816,96307000000,2259353339030.4,61372000000.0,9.24924,1.81294
Ahold Delhaize,AD.AS,Netherlands,26.327470508,96094832570,24483128386.89,2519150000.0,13.2184,345.438
Itōchū Shōji,8001.T,Japan,41.067891492,95761078314,58932857821.877,7486290000.0,13.9946,184.707
Tesla,TSLA,United States,200.357382,95318000000,639947935944.54,7937000000.0,76.3812,0.0
LVMH,MC.PA,France,585.9929576,95238779571,292300047360.0,23907800000.0,28.3438,183.748
Brookfield Corporation,BN,Canada,40.4448368,94916000000,61156237385.4,20767000000.0,533.9,56.1903
ENEOS Holdings,5020.T,Japan,4.1650943284,94550414613,11880176275.863,3368780000.0,-54.0233,250.417
Carrefour,CA.PA,France,13.070890428,93864691576,8602322184.6695,1480210000.0,11.1737,548.177
Uniper,UN0.DE,Germany,45.663577036,92251425293,19017733052.168,-1542810000.0,-0.0401631,0.0
Indian Oil,IOC.NS,India,1.636194806,92218272535,23105061211.12,5126300000.0,10.4831,446.277
Pepsico,PEP,United States,130.1580072,92054000000,178770676195.0,12706000000.0,28.2571,302.941
Dell,DELL,United States,90.4141736,91839000000,63470393928.253,5495000000.0,45.366,129.346
ENGIE,ENGI.PA,France,13.049784136,91273491046,31658295384.595,7093740000.0,0.0,906.871
NTT (Nippon Telegraph &amp; Telephone),9432.T,Japan,0.78519978,91187742362,66022009063.892,13546800000.0,9.20714,329.937
Mitsui Bussan,8031.T,Japan,16.998413248,91000928004,50087519654.874,10031400000.0,4.28653,237.069
Walt Disney,DIS,United States,73.256129732,90028000000,132992421350.6,9667000000.0,77.4274,31.2467
Enel,ENEL.MI,Italy,6.0642720088,89871180222,61595392083.522,15101800000.0,31.7918,567.085
BYD,002594.SZ,China,33.040033324,89658591321,91594857930.932,6002730000.0,43.8427,36.2387
United Parcel Service,UPS,United States,103.1617644,89502000000,88366098268.16,6736000000.0,11.6041,484.135
PTT PCL,PTT-R.BK,Thailand,0.768741444,89239309811,21957606527.257,8584220000.0,13.4777,544.005
Archer Daniels Midland (ADM),ADM,United States,45.5385394,88768000000,21773889118.044,3919000000.0,8.31844,316.667
DHL Group (Deutsche Post),DHL.DE,Germany,33.639695844,88130240490,39317436893.432,6315920000.0,11.3496,0.0
FedEx,FDX,United States,206.929287,87591000000,50557589426.176,6199000000.0,16.2198,192.861
E.ON,EOAN.DE,Germany,11.297657116,87444973643,29505695481.749,2337830000.0,66.8709,388.335
Sony,SONY,Japan,75.167354,87211612525,91214836388.987,8771280000.0,17.9475,0.0
Johnson & Johnson,JNJ,United States,122.67556,86576000000,295411291794.96,20273000000.0,11.4588,298.017
Nissan,7201.T,Japan,2.152879882,86451000355,7866676216.489,4581700000.0,5.43051,440.429
Bank of China,601988.SS,China,0.53756811372,86314880725,144329014354.39,40371800000.0,6.7776,452.482
Generali,G.MI,Italy,21.919836692,86209332084,33605118964.025,4537080000.0,0.0,482.296
Tencent,TCEHY,China,43.698406,86165584253,401689927088.87,27091800000.0,19.1184,76.087
Tesco,TSCO.L,United Kingdom,3.6099988488,86157792323,24490024959.998,2892270000.0,2230.69,3.21449
StoneX Group,SNEX,United States,62.137838,85384400000,1975442720.0717,1443600000.0,7.00427,0.0
Dior,CDI.PA,France,549.6855636,84937516761,99169267359.615,21556400000.0,0.0,195.706
Procter & Gamble,PG,United States,131.9790916,84039000000,310085753668.89,19686000000.0,27.4171,220.686
Lowe's Companies,LOW,United States,204.1824212,84023000000,115831468209.6,10607000000.0,26.2675,164.708
Siemens,SIE.DE,Germany,152.91546652,83956343057,120804362625.36,12155700000.0,16.9017,254.205
PKN Orlen,PKN.WA,Poland,11.013598428,83881988983,12786107677.605,4225500000.0,2.29001,964.054
Energy Transfer Partners,ET,United States,12.210409,83629000000,41786826207.56,9546000000.0,15.1604,781.581
Wells Fargo,WFC,United States,42.441172,82887000000,144369222166.77,21704000000.0,11.97,250.447
Repsol,REP.MC,Spain,9.980456864,82410053170,11577832834.505,7191330000.0,4.2038,331.706
Japan Post Holdings,6178.T,Japan,7.3064268204,81589585320,22765371681.795,4285600000.0,15.0184,324.437
Sinopharm,1099.HK,China,2.0331835856,80057351854,6344866439.5643,3202040000.0,6.74118,458.578
Citigroup,C,United States,46.8910184,79824000000,89458687561.236,11539000000.0,8.99904,342.654
Albertsons,ACI,United States,14.0886404,79452900000,8159211050.3936,1415600000.0,7.51626,259.6
T-Mobile US,TMUS,United States,156.2094196,79096000000,182137560770.15,15769000000.0,31.7125,95.0385
Sysco,SYY,United States,58.8766492,78844000000,28939106792.571,3172000000.0,21.6927,193.15
Petrobras,PBR,Brazil,10.979234032,78375496031,67749886651.269,19224200000.0,0.710291,1742.8
Oil &amp; Natural Gas,ONGC.NS,India,2.7029235668,77528551410,34003625170.201,9349900000.0,9.743,346.131
Vinci,DG.PA,France,89.16532116,77255140394,50867150917.662,9058150000.0,14.4518,417.581
Kia,000270.KS,South Korea,56.8784091,77160091428,22286951785.153,12101200000.0,5.2107,544.976
7-Eleven,3382.T,Japan,11.483803944,77070090999,29792139880.224,1674550000.0,7.14088,155.502
BNP Paribas,BNP.PA,France,52.063888644,75244964637,58826988430.331,15121600000.0,7.83731,730.601
Foxconn Industrial Internet,601138.SS,China,2.708272526,74631762705,53807616758.743,3860590000.0,24.1951,212.921
TSMC,TSM,Taiwan,134.0059052,73867987262,695241908913.44,37329700000.0,28.4899,115.076
Boeing,BA,United States,116.3665312,73557000000,71707730334.515,-3002000000.0,-33.2596,0.0
Raytheon Technologies,RTX,United States,91.7628428,72417000000,122127412656.87,4542000000.0,55.2248,199.352
China Telecom,0728.HK,China,0.43596074772,72272971401,60447733464.114,5722070000.0,20.8928,571.214
